,TARGET,DAYS_BIRTH,INCOME_ANNUITY_DIFF,PREVAPP_AMT_ANNUITY_LAST,ANNUITY_INCOME_RATIO,FLAG_EMP_PHONE,BUREAU_TOTAL_DEBT,REGION_POPULATION_RELATIVE,REG_CITY_NOT_LIVE_CITY,REGION_RATING_CLIENT_W_CITY,PREVAPP_AMT_CREDIT_GOODS_DIFF_LAST,REG_CITY_NOT_WORK_CITY,BUREAU_RATIO_DEBT_CREDIT,DAYS_LAST_PHONE_CHANGE,EXT_SOURCE_1,PREVAPP_SK_ID_PREV_COUNT,CREDIT_GOODS_RATIO,BUREAU_COUNT,NAME_EDUCATION_TYPE,AMT_GOODS_PRICE,EXT_SOURCE_2,DAYS_EMPLOYED_RATIO,PREVAPP_AMT_DECLINED_LAST,DAYS_REGISTRATION,PREVAPP_ANNUITY_GOODS_LAST,FLAG_DOCUMENT_3,BUREAU_DAYS_DIFF_AVG,DAYS_ID_PUBLISH,BUREAU_ACTIVE_LOANS_PCT,PREVAPP_DAYS_LAST_DUE_1ST_VERSION_LAST,BUREAU_TOTAL_CREDIT,CREDIT_TERM
0,1,-9461,177799.5,9251.775,0.12197777777175418,1,245781.0,0.018801,0,2,0.0,0,0.2841216332733493,-1134.0,0.08303696739132256,1.0,1.1583974358644331,8.0,1,351000.0,0.2629485927471776,0.0673290350568957,0.0,-3648.0,7460.621891407545,1,166.75,-2120,0.25,125.0,865055.565,16.46110401957001
1,0,-16765,234301.5,6737.31,0.13221666666176973,1,0.0,0.003540999999999999,0,1,-756.0,0,0.0,-828.0,0.3112673113812225,3.0,1.1451992031771119,4.0,3,1129500.0,0.6222457752555098,0.07086191474551859,756.0,-1186.0,5734.1202215664825,1,495.0,-291,0.25,-1980.0,1017400.5,36.23408545562584
2,0,-19046,60750.0,5357.25,0.09999999998518518,1,0.0,0.010032,0,2,-4176.0,0,0.0,-815.0,,1.0,0.999999999925926,2.0,1,135000.0,0.5559120833904428,0.011813504154055184,4176.0,-4260.0,6070.484823787941,0,459.0,-2531,0.0,-694.0,189037.8,19.99999997037037
3,0,-19005,105313.5,32696.1,0.21989999998371113,1,,0.008019,0,2,218115.0,0,,-617.0,,9.0,1.0528030302675824,,1,297000.0,0.6504416904014653,0.1599052881662222,-218115.0,-9833.0,14343.747011719372,1,,-2437,,-215.0,,10.532817944003902
4,0,-19932,99634.5,22678.785,0.1799629629481512,1,0.0,0.028663,0,2,13365.0,1,0.0,-1106.0,,6.0,0.9999999999805068,1.0,1,513000.0,0.3227382869704046,0.1524182220311149,-13365.0,-4311.0,16874.98593751172,0,0.0,-3458,0.0,-746.0,146250.0,23.46161760606361
5,0,-16941,71482.5,12144.285,0.27795454542646925,1,240057.0,0.035792000000000004,0,2,-12145.5,0,0.5124544904369879,-2536.0,,5.0,1.0791980197782354,3.0,1,454500.0,0.3542247319929012,0.0937370875944378,12145.5,-4970.0,12145.487854512146,1,339.6666666666667,-477,0.3333333333333333,-2029.0,468445.5,17.82485690276193
6,0,-13778,129699.0,9845.01,0.24152631577534936,1,1077349.5,0.035792000000000004,0,2,-9846.0,0,0.22440987320581116,-1562.0,0.7747614130547695,7.0,1.1187999999919798,18.0,3,1395000.0,0.7239998516953141,0.22717375542689341,9846.0,-1213.0,9845.990154009847,0,146.83333333333334,-619,0.2222222222222222,-1261.0,4800811.5,37.78906078840971
7,0,-18850,317925.0,27463.41,0.11687499999675346,1,348007.5,0.003122,0,3,13599.0,1,0.35152272727272726,-1070.0,,1.0,0.999999999993464,2.0,3,1530000.0,0.7142792864482229,0.023819628659851263,-13599.0,-4597.0,24721.17527882472,1,801.5,-2379,0.5,-769.0,990000.0,36.36363635499379
8,0,-20099,78673.5,31295.25,0.3006799999732729,0,0.0,0.018634,0,2,57915.0,0,0.0,0.0,0.5873340468730377,4.0,1.1161576354557619,4.0,1,913500.0,0.20574728800732814,,-57915.0,-7427.0,22499.9925000025,1,299.75,-3514,0.0,-289.0,435228.3,30.142344011309962
9,0,-14469,114750.0,9482.355,0.1499999999888889,1,,0.019689,0,2,24273.0,0,,-1673.0,,4.0,0.9999999999753086,,1,405000.0,0.7466436294590924,0.13953970567388188,0.0,-14437.0,4999.997222223766,0,,-3992,,33.0,,19.999999990123456
10,0,-10197,91323.0,11567.475,0.18823999998326754,1,758214.0,0.0228,0,2,12595.5,0,0.277740940785375,-844.0,0.3197601716755032,2.0,0.9999999999846744,8.0,3,652500.0,0.6518623334244781,0.06658821228458195,-12595.5,-4427.0,9939.366717194403,1,241.5,-738,0.25,-483.0,2729932.425,30.811729692207713
11,0,-20417,27740.655,7666.92,0.2779472895023466,0,0.0,0.015221,0,2,-1773.0,0,0.0,-2396.0,0.7220444501416448,1.0,1.0989999999185927,4.0,1,135000.0,0.5551831615131809,,1773.0,-5246.0,6884.993115006885,0,272.5,-2512,0.0,-2090.0,409495.5,13.893805296723505
12,0,-13439,61618.5,7124.04,0.08713333332042468,1,63724.5,0.031329,0,2,0.0,0,0.13416136122479916,-2370.0,0.4648311169632833,4.0,1.1979999998225184,7.0,1,67500.0,0.7150418188660659,0.20217278086328802,0.0,-311.0,4104.185789922588,1,215.14285714285714,-3227,0.5714285714285714,-605.0,474984.0,13.749043587946879
13,0,-14086,196033.5,11783.52,0.12873999999427824,1,0.0,0.016612000000000002,0,2,3118.5,0,0.0,-4.0,,2.0,1.3167999999811213,6.0,1,697500.0,0.5669066132460429,0.21496521383995826,-3118.5,-643.0,8137.121609532663,1,328.6666666666667,-4911,0.0,109.0,859770.0,31.707938469712275
14,0,-14583,156222.0,4180.365,0.17342857141939533,1,,0.010006,0,1,0.0,0,,-188.0,0.7219397686622343,4.0,1.1386026489898662,,1,679500.0,0.6426562048311103,0.013920318188246806,0.0,-615.0,3680.5328194671806,1,,-2056,,121.0,,23.603651832447476
15,0,-8728,137340.0,10518.615,0.12799999999187303,1,245470.14,0.020713,1,3,20547.0,1,0.34093075,-925.0,0.11563433726229973,1.0,1.2111999999510628,2.0,1,247500.0,0.34663398139668,0.1325618699960608,-20547.0,-3494.0,7011.369157192369,0,0.0,-1368,1.0,-564.0,720000.0,14.869642849767043
16,0,-12931,81850.5,5729.265,0.24212499997758102,1,123088.5,0.018634,1,2,2574.0,1,0.6170313557410332,-3.0,,2.0,1.3168023255473693,4.0,1,387000.0,0.2363778398884225,0.10184827167415379,-2574.0,-6392.0,4064.0574199282255,1,100.5,-3866,0.5,-1.0,199485.0,19.48803991682899
17,0,-9776,67500.0,33750.0,0.16666666664609053,1,,0.010966,1,2,1377.0,1,,-2811.0,,6.0,0.9999999999629628,,1,270000.0,0.6835133461914255,0.019537643227841288,-675000.0,-4143.0,4349.992750012084,0,,-2427,,365243.0,,19.999999985185184
18,0,-17718,104625.0,6765.975,0.06999999999377778,1,205276.5,0.04622,0,1,14112.0,0,0.19411489361702128,-239.0,,1.0,0.999999999936508,2.0,1,157500.0,0.7064284028871654,0.44045603366094144,-14112.0,-8751.0,4949.497250279305,1,48.0,-1259,1.0,301.0,1057500.0,19.999999974603174
19,0,-11348,72436.5,2250.0,0.19514999997831667,1,137038.5,0.015221,0,2,0.0,0,0.08327103204700147,-1850.0,,4.0,1.1979999999736413,13.0,3,454500.0,0.5866171400119664,0.1795911175357694,0.0,-1021.0,4500000000.0,1,189.76923076923077,-3964,0.3076923076923077,365243.0,1645692.345,31.001281048195814
20,0,-18252,113625.0,,0.15833333332160496,1,,0.015221,0,2,,0,,-296.0,0.5656548824667073,,0.9999999999766082,,1,427500.0,0.11337451271992707,0.23482358110608348,,-298.0,,0,,-1800,,,,19.999999990643275
21,0,-14815,164938.5,23833.575,0.18548888887972895,1,1886544.0,0.025164,0,2,60682.5,0,0.7692330275229358,0.0,0.43770901984754174,8.0,1.2217621359091504,1.0,1,927000.0,0.2337669575081463,0.11150860621769058,0.0,-2299.0,12499.993055559415,1,0.0,-2299,1.0,-1159.0,2452500.0,30.152509875763077
22,0,-11146,417478.5,42778.845,0.072269999998394,1,3477814.38,0.020713,0,2,69498.0,0,0.6182781119999999,-468.0,,3.0,1.1055999999754311,3.0,1,450000.0,0.457142971588935,0.3863269337756387,0.0,-114.0,18749.994791668112,1,498.6666666666667,-2518,0.6666666666666666,612.0,5625000.0,15.298187348277851
23,0,-24827,59400.0,21569.22,0.2864864864520737,0,376713.0,0.006296,0,3,13365.0,0,0.6024540318808247,-795.0,,4.0,1.0659999999526222,3.0,1,225000.0,0.6243047373592765,,0.0,-9012.0,16874.98593751172,0,613.3333333333334,-3684,0.3333333333333333,-111.0,625297.5,10.0566037693683
24,0,-11286,122296.5,22891.68,0.09409999999302963,1,3682287.0,0.026392,0,2,0.0,1,0.49572841154582914,-4.0,,1.0,0.999999999959596,4.0,1,247500.0,0.7861793090532118,0.06609959247394967,0.0,-108.0,20999.965000058335,1,674.0,-3729,0.25,-143.0,7428033.0,19.48281968002297
25,0,-19334,78925.5,4373.055,0.12304999998632778,1,451642.5,0.028663,0,2,-1705.5,0,0.7019284446317527,0.0,0.5619484093041138,12.0,0.9999999999555556,6.0,1,225000.0,0.6514056365297631,0.18071790637256538,1705.5,-2419.0,4263.7393406516485,1,188.16666666666666,-2893,0.3333333333333333,-2728.0,643430.9700000001,20.316944313226834
26,1,-18724,85423.5,,0.2406799999786062,1,1125000.0,0.018029,0,2,,0,0.2833288189608179,-161.0,,,1.395999999980114,7.0,1,702000.0,0.5484771599678789,0.14035462515507083,,-6573.0,,1,184.28571428571428,-1827,0.42857142857142855,,3970651.5,36.19345187295498
27,0,-15948,88672.5,7910.145,0.21179999998117333,1,0.0,0.019101,0,2,-27000.0,1,0.0,-2.0,,1.0,1.2111999999551406,4.0,1,270000.0,0.5411237022695412,0.07737647358751973,27000.0,-5782.0,11542.480762532063,1,208.25,-3153,0.25,-1316.0,1271160.0,13.724645886591272
28,0,-9994,212323.5,5542.92,0.21361666665875492,1,0.0,0.04622,0,1,-270.0,0,0.0,-849.0,0.6003959050009468,1.0,1.171599999982643,1.0,3,675000.0,0.6850109901296888,0.1797078248746326,270.0,-4668.0,4466.621277815602,0,0.0,-2661,1.0,-488.0,675000.0,13.711476942305534
29,0,-10341,81000.0,22430.43,0.09999999998888888,1,,0.030755,0,2,15471.0,0,,-599.0,0.2979135090150507,2.0,0.9999999999444446,,3,180000.0,0.5027790378786304,0.09766947113206602,-15471.0,-4799.0,15749.973750043751,0,,-3015,,-419.0,,19.99999997777778
