,SK_ID_CURR,BUREAU_COUNT,BUREAU_TYPES_COUNT,BUREAU_ACTIVE_LOANS_PCT,BUREAU_PAST_DUE_LOANS_PCT,BUREAU_TOTAL_DEBT,BUREAU_TOTAL_CREDIT,BUREAU_TOTAL_OVERDUE,BUREAU_CREDIT_PROL_AVG,BUREAU_OVERDUE_COUNT,BUREAU_DAYS_DIFF_AVG,BUREAU_AVG_TYPES_COUNT,BUREAU_RATIO_DEBT_CREDIT,BUREAU_RATIO_OVERDUE_DEBT
0,100001,7,1,0.42857142857142855,0.0,596686.5,1453365.0,0.0,0.0,0,217.57142857142856,7.0,0.41055515992197417,0.0
1,100002,8,2,0.25,0.0,245781.0,865055.565,0.0,0.0,0,166.75,4.0,0.2841216332733493,0.0
2,100003,4,2,0.25,0.0,0.0,1017400.5,0.0,0.0,0,495.0,2.0,0.0,0.0
3,100004,2,1,0.0,0.0,0.0,189037.8,0.0,0.0,0,459.0,2.0,0.0,0.0
4,100005,3,2,0.6666666666666666,0.0,568408.5,657126.0,0.0,0.0,0,103.66666666666669,1.5,0.8649916454378612,0.0
5,100007,1,1,0.0,0.0,0.0,146250.0,0.0,0.0,0,0.0,1.0,0.0,0.0
6,100008,3,1,0.3333333333333333,0.0,240057.0,468445.5,0.0,0.0,0,339.6666666666667,3.0,0.5124544904369879,0.0
7,100009,18,2,0.2222222222222222,0.0,1077349.5,4800811.5,0.0,0.0,0,146.83333333333334,9.0,0.2244098732058112,0.0
8,100010,2,2,0.5,0.0,348007.5,990000.0,0.0,0.0,0,801.5,1.0,0.3515227272727273,0.0
9,100011,4,2,0.0,0.0,0.0,435228.3,0.0,0.0,0,299.75,2.0,0.0,0.0
10,100013,4,2,0.0,0.0,0.0,2072280.06,0.0,0.0,0,215.0,2.0,0.0,0.0
11,100014,8,1,0.25,0.0,758214.0,2729932.425,0.0,0.0,0,241.5,8.0,0.27774094078537503,0.0
12,100015,4,1,0.0,0.0,0.0,409495.5,0.0,0.0,0,272.5,4.0,0.0,0.0
