,SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_3,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_11,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,DAYS_EMPLOYED_ANOM,CREDIT_INCOME_RATIO,ANNUITY_INCOME_RATIO,INCOME_ANNUITY_DIFF,CREDIT_GOODS_RATIO,CREDIT_GOODS_DIFF,CREDIT_TERM,DAYS_EMPLOYED_RATIO,FLAG_CONTACTS_SUM,CNT_NON_CHILDREN,CHILDREN_INCOME_RATIO,PER_CAPITA_INCOME,FLAG_REGIONS,SUM_FLAGS_DOCUMENTS,BUREAU_COUNT,BUREAU_TYPES_COUNT,BUREAU_ACTIVE_LOANS_PCT,BUREAU_PAST_DUE_LOANS_PCT,BUREAU_TOTAL_DEBT,BUREAU_TOTAL_CREDIT,BUREAU_TOTAL_OVERDUE,BUREAU_CREDIT_PROL_AVG,BUREAU_OVERDUE_COUNT,BUREAU_DAYS_DIFF_AVG,BUREAU_AVG_TYPES_COUNT,BUREAU_RATIO_DEBT_CREDIT,BUREAU_RATIO_OVERDUE_DEBT,PREVAPP_SK_ID_PREV_COUNT,PREVAPP_AMT_ANNUITY_LAST,PREVAPP_AMT_APPLICATION_LAST,PREVAPP_AMT_CREDIT_LAST,PREVAPP_AMT_DOWN_PAYMENT_LAST,PREVAPP_AMT_GOODS_PRICE_LAST,PREVAPP_FLAG_LAST_APPL_PER_CONTRACT_LAST,PREVAPP_DAYS_FIRST_DUE_LAST,PREVAPP_DAYS_LAST_DUE_1ST_VERSION_LAST,PREVAPP_DAYS_LAST_DUE_LAST,PREVAPP_AMT_DECLINED_LAST,PREVAPP_AMT_CREDIT_GOODS_RATIO_LAST,PREVAPP_AMT_CREDIT_GOODS_DIFF_LAST,PREVAPP_AMT_CREDIT_APPLICATION_RATIO_LAST,PREVAPP_CREDIT_DOWNPAYMENT_RATIO_LAST,PREVAPP_GOOD_DOWNPAYMET_RATIO_LAST,PREVAPP_ANNUITY_LAST,PREVAPP_ANNUITY_GOODS_LAST
0,100002,1,Cash loans,M,0,1,0,202500.0,406597.5,24700.5,351000.0,Unaccompanied,Working,1,Single / not married,House / apartment,0.018801,-9461,-637.0,-3648.0,-2120,,1,1,0,1,1,0,Laborers,1.0,2,2,2,10,0,0,0,0,0,0,Business Entity Type 3,0.08303696739132256,0.2629485927471776,0.13937578009978951,2.0,2.0,2.0,2.0,-1134.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,False,2.007888888789734,0.12197777777175418,177799.5,1.1583974358644331,55597.50001,16.46110401957001,0.0673290350568957,4,1.0,0.0,101250.0,0,1,8.0,2.0,0.25,0.0,245781.0,865055.565,0.0,0.0,0.0,166.75,4.0,0.2841216332733493,0.0,1.0,9251.775,179055.0,179055.0,0.0,179055.0,1.0,-565.0,125.0,-25.0,0.0,0.9999999999441513,0.0,0.9999999999441513,0.0,0.0,7460.621891407545,7460.621891407545
1,100003,0,Cash loans,F,0,0,0,270000.0,1293502.5,35698.5,1129500.0,Family,State servant,3,Married,House / apartment,0.003540999999999999,-16765,-1188.0,-1186.0,-291,,1,1,0,1,1,0,Core staff,2.0,1,1,0,11,0,0,0,0,0,0,School,0.3112673113812225,0.6222457752555098,,1.0,0.0,1.0,0.0,-828.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,4.790749999822564,0.13221666666176973,234301.5,1.1451992031771119,164002.50001,36.23408545562584,0.07086191474551859,4,2.0,0.0,90000.0,0,1,4.0,2.0,0.25,0.0,0.0,1017400.5,0.0,0.0,0.0,495.0,2.0,0.0,0.0,3.0,6737.31,68809.5,68053.5,6885.0,68809.5,1.0,-2310.0,-1980.0,-1980.0,756.0,0.9890131448435153,-756.0,1.0111089068143286,0.1011704026830111,0.10005885813731259,5671.1202740664385,5734.1202215664825
2,100004,0,Revolving loans,M,1,1,0,67500.0,135000.0,6750.0,135000.0,Unaccompanied,Working,1,Single / not married,House / apartment,0.010032,-19046,-225.0,-4260.0,-2531,26.0,1,1,1,1,1,0,Laborers,1.0,2,2,0,9,0,0,0,0,0,0,Government,,0.5559120833904428,0.7295666907060153,0.0,0.0,0.0,0.0,-815.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.9999999997037037,0.09999999998518518,60750.0,0.999999999925926,1e-05,19.99999997037037,0.011813504154055184,5,1.0,0.0,33750.0,0,0,2.0,1.0,0.0,0.0,0.0,189037.8,0.0,0.0,0.0,459.0,2.0,0.0,0.0,1.0,5357.25,24282.0,20106.0,4860.0,24282.0,1.0,-784.0,-694.0,-724.0,4176.0,0.8280207557746393,-4176.0,1.207699193669701,0.24171888976339456,0.20014825788643922,5026.487433781416,6070.484823787941
3,100006,0,Cash loans,F,0,1,0,135000.0,312682.5,29686.5,297000.0,Unaccompanied,Working,1,Civil marriage,House / apartment,0.008019,-19005,-3039.0,-9833.0,-2437,,1,1,0,1,0,0,Laborers,2.0,2,2,2,17,0,0,0,0,0,0,Business Entity Type 3,,0.6504416904014653,,2.0,0.0,2.0,0.0,-617.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,False,2.316166666495099,0.21989999998371113,105313.5,1.0528030302675824,15682.50001,10.532817944003902,0.1599052881662222,3,2.0,0.0,45000.0,0,1,,,,,,,,,,,,,,9.0,32696.1,688500.0,906615.0,2693.34,688500.0,1.0,-545.0,-215.0,-425.0,-218115.0,1.3167973856017896,218115.0,0.7594182756654212,0.11120772942268148,0.10007825402767717,18887.808565039883,14343.747011719372
4,100007,0,Cash loans,M,0,1,0,121500.0,513000.0,21865.5,513000.0,Unaccompanied,Working,1,Single / not married,House / apartment,0.028663,-19932,-3038.0,-4311.0,-3458,,1,1,0,1,0,0,Core staff,1.0,2,2,3,11,0,0,0,0,1,1,Religion,,0.3227382869704046,,0.0,0.0,0.0,0.0,-1106.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,4.2222222218747145,0.1799629629481512,99634.5,0.9999999999805068,1e-05,23.46161760606361,0.1524182220311149,3,1.0,0.0,60750.0,2,1,1.0,1.0,0.0,0.0,0.0,146250.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,22678.785,202500.0,215865.0,3105.0,202500.0,1.0,-1076.0,-746.0,-746.0,-13365.0,1.0659999999473582,13365.0,0.9380863038965055,0.10126210739286368,0.10014513784868727,17988.735009387492,16874.98593751172
5,100008,0,Cash loans,M,0,1,0,99000.0,490495.5,27517.5,454500.0,"Spouse, partner",State servant,1,Married,House / apartment,0.035792000000000004,-16941,-1588.0,-4970.0,-477,,1,1,1,1,1,0,Laborers,2.0,2,2,2,16,0,0,0,0,0,0,Other,,0.3542247319929012,0.6212263380626669,0.0,0.0,0.0,0.0,-2536.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,False,4.954499999499546,0.27795454542646925,71482.5,1.0791980197782354,35995.50001,17.82485690276193,0.0937370875944378,5,2.0,0.0,33000.0,0,1,3.0,1.0,0.3333333333333333,0.0,240057.0,468445.5,0.0,0.0,0.0,339.6666666666667,3.0,0.5124544904369879,0.0,5.0,12144.285,121455.0,109309.5,12145.5,121455.0,1.0,-2299.0,-2029.0,-2029.0,12145.5,0.8999999999258984,-12145.5,1.111111111009463,0.11111111110094629,0.0999999999917665,10930.93906906093,12145.487854512146
6,100009,0,Cash loans,F,1,1,1,171000.0,1560726.0,41301.0,1395000.0,Unaccompanied,Commercial associate,3,Married,House / apartment,0.035792000000000004,-13778,-3130.0,-1213.0,-619,17.0,1,1,0,1,1,0,Accountants,3.0,2,2,6,16,0,0,0,0,0,0,Business Entity Type 3,0.7747614130547695,0.7239998516953141,0.4920600938649263,1.0,0.0,1.0,0.0,-1562.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,1.0,1.0,2.0,False,9.127052631045203,0.24152631577534936,129699.0,1.1187999999919798,165726.00001,37.78906078840971,0.22717375542689341,4,2.0,5.847953216032284e-06,42750.0,0,2,18.0,2.0,0.2222222222222222,0.0,1077349.5,4800811.5,0.0,0.0,0.0,146.83333333333334,9.0,0.22440987320581116,0.0,7.0,9845.01,98460.0,88614.0,9846.0,98460.0,1.0,-1531.0,-1261.0,-1261.0,9846.0,0.8999999999085923,-9846.0,1.1111111109857232,0.11111111109857233,0.09999999998984359,8861.391138608862,9845.990154009847
7,100010,0,Cash loans,M,1,1,0,360000.0,1530000.0,42075.0,1530000.0,Unaccompanied,State servant,3,Married,House / apartment,0.003122,-18850,-449.0,-4597.0,-2379,8.0,1,1,1,1,0,0,Managers,2.0,3,3,0,16,0,0,0,0,1,1,Other,,0.7142792864482229,0.5406544504453575,2.0,0.0,2.0,0.0,-1070.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,4.249999999881944,0.11687499999675346,317925.0,0.999999999993464,1e-05,36.36363635499379,0.023819628659851263,4,2.0,0.0,120000.0,2,1,2.0,2.0,0.5,0.0,348007.5,990000.0,0.0,0.0,0.0,801.5,1.0,0.35152272727272726,0.0,1.0,27463.41,247212.0,260811.0,0.0,247212.0,1.0,-1039.0,-769.0,-769.0,-13599.0,1.055009465517248,13599.0,0.9478587942629775,0.0,0.0,26081.073918926082,24721.17527882472
8,100011,0,Cash loans,F,0,1,0,112500.0,1019610.0,33826.5,913500.0,Children,Pensioner,1,Married,House / apartment,0.018634,-20099,,-7427.0,-3514,,1,0,0,1,0,0,XNA,2.0,2,2,2,14,0,0,0,0,0,0,XNA,0.5873340468730377,0.20574728800732814,0.7517237147741489,1.0,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,True,9.063199999194381,0.3006799999732729,78673.5,1.1161576354557619,106110.00001,30.142344011309962,,2,2.0,0.0,37500.0,0,1,4.0,2.0,0.0,0.0,0.0,435228.3,0.0,0.0,0.0,299.75,2.0,0.0,0.0,4.0,31295.25,675000.0,732915.0,0.0,675000.0,1.0,-1159.0,-289.0,-289.0,-57915.0,1.085799999983914,57915.0,0.9209799226251205,0.0,0.0,24430.491856502715,22499.9925000025
9,100012,0,Revolving loans,M,0,1,0,135000.0,405000.0,20250.0,405000.0,Unaccompanied,Working,1,Single / not married,House / apartment,0.019689,-14469,-2019.0,-14437.0,-3992,,1,1,0,1,0,0,Laborers,1.0,2,2,3,8,0,0,0,0,0,0,Electricity,,0.7466436294590924,,2.0,0.0,2.0,0.0,-1673.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,False,2.999999999777778,0.1499999999888889,114750.0,0.9999999999753086,1e-05,19.999999990123456,0.13953970567388188,3,1.0,0.0,67500.0,0,0,,,,,,,,,,,,,,4.0,9482.355,0.0,0.0,0.0,90000.0,1.0,-477.0,33.0,-147.0,0.0,1.2696999998589222,24273.0,0.0,0.0,0.0,6348.496473057515,4999.997222223766
